G30N3,,,,,,,,G15N3,,,,,,,,G7.5N3,,,,,,,
Time,OD600,Biomass (g/l),Glucose (g/l),Nitrogen (g/l),Ectoine (g/L),PHB (g/L),,Time,OD600,Biomass (g/l),Glucose (g/l),Nitrogen (g/l),Ectoine (g/L),PHB (g/L),,Time,OD600,Biomass (g/l),Glucose (g/l),Nitrogen (g/l),Ectoine (g/L),PHB (g/L),
0,0.11,0.03,30.28,2.91,0.01,0.01,,0,0.11,0.03,15.91,3.00,0.01,0.01,,0,0.08,0.02,7.30,2.76,0.01,0.01,
2,0.22,0.06,30.23,2.81,0.01,0.01,,2,0.24,0.06,15.44,2.93,0.01,0.01,,2,0.22,0.06,7.27,2.63,0.01,0.01,
4,0.40,0.11,30.07,2.69,0.01,0.01,,4,0.51,0.13,15.12,2.76,0.01,0.01,,4,0.44,0.12,7.12,2.50,0.01,0.01,
6,0.76,0.20,29.83,2.51,0.01,0.01,,6,0.89,0.23,14.39,2.60,0.01,0.01,,6,0.85,0.22,7.01,2.36,0.01,0.01,
22,15.97,4.61,21.88,1.26,0.0249,1.10,,22,16.13,4.66,5.51,1.49,0.0306,1.65,,22,11.97,3.57,0.01,1.51,0.0206,0.61,
24,18.50,5.28,21.10,1.00,0.0271,1.31,,24,18.00,5.15,4.93,1.16,0.0449,1.73,,24,10.60,3.21,0.01,1.33,0.0226,0.66,
26,21.30,6.01,19.95,0.76,0.0307,1.52,,26,20.27,5.74,3.11,0.86,0.0462,1.95,,26,9.80,3.00,0.01,1.21,0.0242,0.86,
28,24.67,6.89,18.42,0.56,0.0339,1.58,,28,23.33,6.54,1.90,0.61,0.0500,2.39,,28,8.77,2.73,0.01,1.13,0.0249,0.57,
30,26.93,7.49,16.06,0.37,0.0419,1.90,,30,26.67,7.42,0.35,0.39,0.0542,3.09,,30,8.33,2.62,0.01,1.11,0.0259,0.47,
46,53.63,14.48,1.80,0.11,0.0663,5.97,,46,19.97,5.66,0.01,0.01,0.0551,1.80,,46,6.23,2.07,0.01,1.03,0.0249,0.42,
48,55.47,14.96,0.46,0.01,0.0702,6.14,,48,19.17,5.45,0.01,0.01,0.0591,1.78,,48,5.60,1.90,0.01,1.06,0.0239,0.39,
50,56.23,15.16,0.04,0.01,0.0789,6.40,,50,18.90,5.38,0.01,0.01,0.0582,1.76,,50,5.37,1.84,0.01,1.06,0.0238,0.32,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
